service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20191215","20200613"
"T0#1","1","1","1","1","1","0","0","20200107","20200405"
"T0#10","1","1","1","1","1","0","0","20200302","20200613"
"T0#100","0","0","0","0","1","0","0","20200228","20200228"
"T0#101","1","1","1","1","1","0","0","20191215","20200613"
"T0#102","1","1","1","1","1","0","0","20200302","20200403"
"T0#103","1","1","1","1","1","0","0","20191215","20200613"
"T0#104","1","1","1","1","1","0","0","20200108","20200613"
"T0#105","1","1","1","1","1","0","0","20191215","20200613"
"T0#106","1","1","1","1","1","0","0","20191215","20200613"
"T0#107","1","1","1","1","1","0","0","20200204","20200327"
"T0#108","1","1","1","1","1","0","0","20200328","20200613"
"T0#109","1","1","1","1","1","0","0","20191215","20200613"
"T0#11","1","1","1","1","1","0","0","20191215","20200613"
"T0#110","1","1","1","1","1","0","0","20200122","20200613"
"T0#111","1","1","1","1","1","0","0","20191215","20200613"
"T0#112","1","1","1","1","1","0","0","20200301","20200613"
"T0#113","1","1","1","1","1","0","0","20191215","20200613"
"T0#114","1","1","1","1","1","0","0","20200203","20200207"
"T0#115","1","1","1","1","1","0","0","20191215","20200613"
"T0#116","1","1","1","1","1","0","0","20200113","20200613"
"T0#117","1","1","1","1","1","0","0","20200221","20200228"
"T0#12","1","1","1","1","1","0","0","20200402","20200613"
"T0#13","1","1","1","1","1","0","0","20191215","20200308"
"T0#14","1","1","1","1","1","0","0","20200309","20200613"
"T0#15","1","1","1","1","1","0","0","20191215","20200613"
"T0#16","1","1","1","1","1","0","0","20200313","20200329"
"T0#17","1","1","1","1","1","0","0","20191215","20200613"
"T0#18","1","1","1","1","1","0","0","20200313","20200613"
"T0#19","1","1","1","1","1","0","0","20191215","20200613"
"T0#2","1","1","1","1","1","0","0","20191215","20200613"
"T0#20","1","1","1","1","1","0","0","20191215","20200613"
"T0#21","1","1","1","1","1","0","0","20200309","20200320"
"T0#22","1","1","1","1","1","0","0","20191215","20200613"
"T0#23","0","1","0","0","0","0","0","20200225","20200225"
"T0#24","1","1","1","1","1","0","0","20200401","20200613"
"T0#25","1","1","1","1","1","0","0","20191215","20200613"
"T0#26","1","1","1","1","1","0","0","20191215","20200613"
"T0#27","1","1","1","1","1","0","0","20191215","20200613"
"T0#28","1","1","1","1","1","0","0","20200203","20200613"
"T0#29","1","1","1","1","1","0","0","20200601","20200613"
"T0#3","1","1","1","1","1","0","0","20191215","20200613"
"T0#30","1","1","1","1","1","0","0","20191215","20200613"
"T0#31","1","1","1","1","1","0","0","20200203","20200613"
"T0#32","1","1","1","1","1","0","0","20200401","20200613"
"T0#33","1","1","1","1","1","0","0","20191215","20200613"
"T0#34","1","1","1","1","0","0","0","20200309","20200312"
"T0#35","1","1","1","1","1","0","0","20200404","20200419"
"T0#36","1","1","1","1","1","0","0","20200420","20200613"
"T0#37","1","1","1","1","1","0","0","20191215","20200613"
"T0#38","1","1","1","1","1","0","0","20191215","20200613"
"T0#39","0","0","0","1","0","0","0","20200109","20200109"
"T0#4","1","1","1","1","1","0","0","20200127","20200613"
"T0#40","1","1","1","1","1","0","0","20191215","20200613"
"T0#41","1","1","1","1","1","0","0","20191215","20200613"
"T0#42","1","1","1","1","1","0","0","20200316","20200403"
"T0#43","1","1","1","1","1","0","0","20191215","20200613"
"T0#44","0","0","0","0","1","0","0","20200320","20200320"
