route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"10-141-C-j20-1","24","141","","3","8000ff","FFFFFF"
"10-141-C-j20-2","24","141","","3","8000ff","FFFFFF"
"10-142-C-j20-1","24","142","","3","8000ff","FFFFFF"
"10-143-C-j20-1","24","143","","3","8000ff","FFFFFF"
"10-144-C-j20-1","24","144","","3","8000ff","FFFFFF"
"10-145-C-j20-1","24","145","","3","8000ff","FFFFFF"
"10-146-C-j20-1","24","146","","3","8000ff","FFFFFF"
"10-146-C-j20-2","24","146","","3","8000ff","FFFFFF"
"11-201-C-j20-1","03","201","","3","8000ff","FFFFFF"
"11-203-C-j20-1","03","203","","3","8000ff","FFFFFF"
"11-204-C-j20-1","03","204","","3","8000ff","FFFFFF"
"11-205-C-j20-1","03","205","","3","8000ff","FFFFFF"
"11-205-C-j20-2","03","205","","3","8000ff","FFFFFF"
"11-206-C-j20-1","03","206","","3","8000ff","FFFFFF"
"11-207-C-j20-1","03","207","","3","8000ff","FFFFFF"
"11-208-C-j20-1","03","208","","3","8000ff","FFFFFF"
"11-212-C-j20-1","03","212","","3","8000ff","FFFFFF"
"11-214-C-j20-1","03","214","","3","8000ff","FFFFFF"
"11-216-C-j20-1","03","216","","3","8000ff","FFFFFF"
"11-216-C-j20-2","03","216","","3","8000ff","FFFFFF"
"11-216-C-j20-3","03","216","","3","8000ff","FFFFFF"
"11-218-C-j20-1","03","218","","3","8000ff","FFFFFF"
"11-218-C-j20-2","03","218","","3","8000ff","FFFFFF"
"11-243-C-j20-1","03","243","","3","8000ff","FFFFFF"
"11-243-C-j20-8","03","243","","3","8000ff","FFFFFF"
"11-243-C-j20-9","03","243","","3","8000ff","FFFFFF"
"11-261-C-j20-1","03","261","","3","8000ff","FFFFFF"
"11-285-C-j20-1","03","285","","3","8000ff","FFFFFF"
"12-231-E-j20-1","22","231","","3","8000ff","FFFFFF"
"12-231-E-j20-2","22","231","","3","8000ff","FFFFFF"
"12-232-E-j20-1","22","232","","3","8000ff","FFFFFF"
"12-232-E-j20-2","22","232","","3","8000ff","FFFFFF"
"12-235-E-j20-1","22","235","","3","8000ff","FFFFFF"
"12-235-E-j20-2","22","235","","3","8000ff","FFFFFF"
"12-236-E-j20-1","22","236","","3","8000ff","FFFFFF"
"12-236-E-j20-2","22","236","","3","8000ff","FFFFFF"
"12-239-C-j20-1","22","239","","3","8000ff","FFFFFF"
"12-239-C-j20-2","22","239","","3","8000ff","FFFFFF"
"15-234-C-j20-1","20","234","","3","8000ff","FFFFFF"
"15-267-C-j20-1","20","267","","3","8000ff","FFFFFF"
"15-268-C-j20-1","20","268","","3","8000ff","FFFFFF"
"15-268-S-j20-1","20","268s","","3","8000ff","FFFFFF"
"15-268-S-j20-2","20","268s","","3","8000ff","FFFFFF"
"15-934-E-j20-1","20","X34","","3","8000ff","FFFFFF"
"17-111-C-j20-1","23","111","","3","8000ff","FFFFFF"
"17-204-C-j20-1","03","204","","3","8000ff","FFFFFF"
"17-205-C-j20-1","03","205","","3","8000ff","FFFFFF"
"17-206-C-j20-1","03","206","","3","8000ff","FFFFFF"
"17-207-C-j20-1","03","207","","3","8000ff","FFFFFF"
"17-212-C-j20-1","03","212","","3","8000ff","FFFFFF"
"17-213-C-j20-1","29","213","","3","8000ff","FFFFFF"
"17-213-C-j20-2","29","213","","3","8000ff","FFFFFF"
"17-213-C-j20-3","29","213","","3","8000ff","FFFFFF"
"17-214-C-j20-1","03","214","","3","8000ff","FFFFFF"
"17-216-C-j20-1","03","216","","3","8000ff","FFFFFF"
"17-216-C-j20-2","03","216","","3","8000ff","FFFFFF"
"17-216-R-j20-1","03","216","","3","8000ff","FFFFFF"
"17-218-C-j20-1","03","218","","3","8000ff","FFFFFF"
"17-221-C-j20-1","17","221","","3","8000ff","FFFFFF"
"17-222-C-j20-1","30","222","","3","8000ff","FFFFFF"
"17-222-C-j20-2","30","222","","3","8000ff","FFFFFF"
"17-223-C-j20-1","30","223","","3","8000ff","FFFFFF"
"17-225-C-j20-1","30","225","","3","8000ff","FFFFFF"
"17-225-D-j20-1","30","225","","3","8000ff","FFFFFF"
"17-226-C-j20-1","30","226","","3","8000ff","FFFFFF"
"17-233-C-j20-1","22","233","","3","8000ff","FFFFFF"
"17-234-C-j20-1","20","234","","3","8000ff","FFFFFF"
"17-240-C-j20-1","29","240","","3","8000ff","FFFFFF"
"17-240-C-j20-2","29","240","","3","8000ff","FFFFFF"
"17-242-C-j20-1","29","242","","3","8000ff","FFFFFF"
"17-242-C-j20-2","29","242","","3","8000ff","FFFFFF"
"17-244-C-j20-1","29","244","","3","8000ff","FFFFFF"
"17-244-C-j20-2","29","244","","3","8000ff","FFFFFF"
"17-247-C-j20-1","29","247","","3","8000ff","FFFFFF"
"17-247-C-j20-2","29","247","","3","8000ff","FFFFFF"
"17-248-C-j20-1","29","248","","3","8000ff","FFFFFF"
"17-248-C-j20-2","29","248","","3","8000ff","FFFFFF"
"17-251-C-j20-1","17","251","","3","8000ff","FFFFFF"
"17-252-C-j20-1","29","252","","3","8000ff","FFFFFF"
"17-252-C-j20-2","29","252","","3","8000ff","FFFFFF"
"17-253-C-j20-1","29","253","","3","8000ff","FFFFFF"
"17-253-C-j20-2","29","253","","3","8000ff","FFFFFF"
"17-254-C-j20-1","29","254","","3","8000ff","FFFFFF"
"17-254-C-j20-2","29","254","","3","8000ff","FFFFFF"
"17-255-C-j20-1","29","255","","3","8000ff","FFFFFF"
"17-255-C-j20-2","29","255","","3","8000ff","FFFFFF"
"17-258-C-j20-1","17","258","","3","8000ff","FFFFFF"
"17-263-C-j20-1","34","263","","3","8000ff","FFFFFF"
"17-263-C-j20-2","34","263","","3","8000ff","FFFFFF"
"17-266-C-j20-1","34","266","","3","8000ff","FFFFFF"
"17-266-C-j20-2","34","266","","3","8000ff","FFFFFF"
"17-268-C-j20-1","20","268","","3","8000ff","FFFFFF"
"17-268-C-j20-2","20","268","","3","8000ff","FFFFFF"
"17-271-C-j20-1","11","271","","3","8000ff","FFFFFF"
"17-271-C-j20-2","11","271","","3","8000ff","FFFFFF"
"17-272-C-j20-1","11","272","","3","8000ff","FFFFFF"
"17-272-C-j20-2","11","272","","3","8000ff","FFFFFF"
"17-273-C-j20-1","11","273","","3","8000ff","FFFFFF"
"17-273-C-j20-2","11","273","","3","8000ff","FFFFFF"
